"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_multiply[2-4]","test","2025-12-15","passed","2025-12-15","","test_pytest_basics","",""
"","0","test_multiply[5-10]","test","2025-12-15","passed","2025-12-15","","test_pytest_basics","",""
"","0","test_upper","test","2025-12-15","passed","2025-12-15","TestStringMethods","test_suite","",""
"","0","test_multiply[4-8]","test","2025-12-15","passed","2025-12-15","","test_pytest_basics","",""
"","0","test_calculator[3-6-9]","test","2025-12-15","passed","2025-12-15","","test_pytest_basics","",""
"","0","test_speed_normal","test","2025-12-15","passed","2025-12-15","TestOdometer","odometer_test","",""
"","0","test_isupper","test","2025-12-15","passed","2025-12-15","TestStringMethods","test_suite","",""
"","0","test_sub","test","2025-12-15","passed","2025-12-15","TestCalculator","test_suite","",""
"","1","test_add","test","2025-12-15","passed","2025-12-15","TestCalculator","test_suite","",""
"","1","test_speed_high_edge_case","test","2025-12-15","passed","2025-12-15","TestOdometer","odometer_test","",""
"","0","test_divide_by_zero","test","2025-12-15","passed","2025-12-15","","test_pytest_basics","",""
"","0","test_conftest_user","test","2025-12-15","passed","2025-12-15","","test_ficture_demo","",""
"","0","test_divide_by_zero_context","test","2025-12-15","passed","2025-12-15","","test_pytest_basics","",""
"","0","test_calculator[1-2-3]","test","2025-12-15","passed","2025-12-15","","test_pytest_basics","",""
"","1","test_multiply_values","test","2025-12-15","passed","2025-12-15","TestOdometer","test_total","",""
"","0","test_negative_values","test","2025-12-15","passed","2025-12-15","TestOdometer","test_total","",""
"","0","test_calculator[2-4-6]","test","2025-12-15","passed","2025-12-15","","test_pytest_basics","",""
"","0","test_subtract","test","2025-12-15","passed","2025-12-15","","test_pytest_basics","",""
"","0","test_multiply[3-6]","test","2025-12-15","passed","2025-12-15","","test_pytest_basics","",""
"","0","test_calculator[4-8-12]","test","2025-12-15","passed","2025-12-15","","test_pytest_basics","",""
"","0","test_total_no_numbers","test","2025-12-15","passed","2025-12-15","TestOdometer","test_total","",""
"","0","test_speed_zero","test","2025-12-15","passed","2025-12-15","TestOdometer","odometer_test","",""
"","0","test_db_operation","test","2025-12-15","passed","2025-12-15","","test_ficture_demo","",""
"","1","test_split","test","2025-12-15","passed","2025-12-15","TestStringMethods","test_suite","",""
"","1","test_calculator[5-10-15]","test","2025-12-15","passed","2025-12-15","","test_pytest_basics","",""
"","0","test_divide_by_zero","test","2025-12-15","passed","2025-12-15","TestCalculator","test_suite","",""
"","1","test_calculate_total_patch_again","test","2025-12-15","passed","2025-12-15","TestOdometer","test_total","",""
"","0","test_iseven","test","2025-12-15","passed","2025-12-15","","test_pytest_basics","",""
"","0","test_mock_return_value_and_assert_call","test","2025-12-15","passed","2025-12-15","TestMockBasic","test_mock_basic","",""
"","1","test_calculate_total_patch","test","2025-12-15","passed","2025-12-15","TestOdometer","test_total","",""
"","0","test_is_even","test","2025-12-15","passed","2025-12-15","TestCalculator","test_suite","",""
"","0","test_divide_by_zero_context","test","2025-12-15","passed","2025-12-15","TestCalculator","test_suite","",""
"","0","test_multiply[1-2]","test","2025-12-15","passed","2025-12-15","","test_pytest_basics","",""
